Tue May 10 17:22:06 2016 ------- Test Case r009.pl.pl Started -------
*** 2016-05-10 17:25:14 'r009.pl' 349 - write2CommandLine "RUN" Passed ***
*** 2016-05-10 17:25:17 'r009.pl' 351 - findStringOnPanel "STATUS: STOPPED BEFORE ADDRESS MODIFIED" Passed ***
*** 2016-05-10 17:25:17 'r009.pl' 354 - write2CommandLine "LI TRACK" Passed ***
*** 2016-05-10 17:25:17 'r009.pl' 355 - pressKey "[F3]" Passed ***
*** 2016-05-10 17:25:17 'r009.pl' 358 - pressKey "[F4]" Passed ***
*** 2016-05-10 17:25:17 'r009.pl' 359 - pressKey "[F4]" Passed ***
*** 2016-05-10 17:25:18 'r009.pl' 360 - pressKey "[F4]" Passed ***
*** 2016-05-10 17:25:18 'r009.pl' 361 - findStringOnPanel ">>>>>>       STOP_10_NUMBERS (STOP_PAYEE) = 0;" Passed ***
*** 2016-05-10 17:25:18 'r009.pl' 364 - write2CommandLine "GO TO STOPFIX;RUN" Passed ***
*** 2016-05-10 17:25:21 'r009.pl' 366 - findStringOnPanel ">>>>>>    BACKTRACK_DEMO: PROC;                 /* PAUSE HERE */" Passed ***
*** 2016-05-10 17:25:21 'r009.pl' 369 - write2CommandLine "SET BACKTRACK 500K" Passed ***
*** 2016-05-10 17:25:21 'r009.pl' 370 - findStringOnPanel "BACKTRACK SIZE=500K " Passed ***
*** 2016-05-10 17:25:21 'r009.pl' 373 - write2CommandLine "SET BACKTRACK ON" Passed ***
*** 2016-05-10 17:25:21 'r009.pl' 374 - findStringOnPanel "BACKTRACK ON" Passed ***
*** 2016-05-10 17:25:21 'r009.pl' 377 - pressKey "[f4]" Passed ***
*** 2016-05-10 17:25:26 'r009.pl' 379 - findStringOnPanel ">>>>>>       RETURN_CODE = 0;                   /* PAUSE HERE */" Passed ***
*** 2016-05-10 17:25:26 'r009.pl' 382 - write2CommandLine "RUN BACKWARD TO BACK_FLAG MOD" Passed ***
*** 2016-05-10 17:25:26 'r009.pl' 383 - findStringOnPanel "BKTR=>          BACK_FLAG = 'N';" Passed ***
*** 2016-05-10 17:25:26 'r009.pl' 384 - findStringOnPanel ": * REVIEWING BACKTRACK HISTORY " Passed ***
*** 2016-05-10 17:25:27 'r009.pl' 387 - write2CommandLine "KEEP BACK_FLAG" Passed ***
*** 2016-05-10 17:25:27 'r009.pl' 388 - findStringOnPanel "''''''   03 BACK_FLAG                       CHAR(1)" Passed ***
*** 2016-05-10 17:25:27 'r009.pl' 389 - findStringOnPanel "''''''        VALUE > Y <" Passed ***
*** 2016-05-10 17:25:27 'r009.pl' 392 - write2CommandLine "STEP FORWARD" Passed ***
*** 2016-05-10 17:25:27 'r009.pl' 393 - findStringOnPanel "''''''   03 BACK_FLAG                       CHAR(1)" Passed ***
*** 2016-05-10 17:25:27 'r009.pl' 394 - findStringOnPanel "''''''        VALUE > N <" Passed ***
